,No,Betweenness,Katz,Collective Influence,Degree
0,0,1.0,1.0,1.0,1.0
1,5,0.8369565217391304,0.46739130434782605,0.8478260869565217,0.8478260869565217
2,10,0.3804347826086957,0.46739130434782605,0.3804347826086957,0.3695652173913043
3,15,0.18478260869565222,0.46739130434782605,0.10869565217391308,0.08695652173913049
4,20,0.08695652173913049,0.4130434782608695,0.10869565217391308,0.08695652173913049
5,25,0.08695652173913049,0.3152173913043478,0.08695652173913049,0.07608695652173914
6,30,0.05434782608695654,0.3152173913043478,0.05434782608695654,0.05434782608695654
7,35,0.05434782608695654,0.3152173913043478,0.05434782608695654,0.03260869565217395
8,40,0.05434782608695654,0.28260869565217395,0.05434782608695654,0.03260869565217395
9,45,0.05434782608695654,0.23913043478260865,0.03260869565217395,0.03260869565217395
10,50,0.05434782608695654,0.23913043478260865,0.03260869565217395,0.021739130434782594
11,55,0.05434782608695654,0.23913043478260865,0.03260869565217395,0.021739130434782594
12,60,0.05434782608695654,0.21739130434782605,0.021739130434782594,0.021739130434782594
13,65,0.05434782608695654,0.21739130434782605,0.021739130434782594,0.010869565217391353
14,70,0.05434782608695654,0.21739130434782605,0.021739130434782594,0.010869565217391353
15,75,0.05434782608695654,0.21739130434782605,0.021739130434782594,0.010869565217391353
16,80,0.05434782608695654,0.21739130434782605,0.021739130434782594,0.010869565217391353
17,85,0.05434782608695654,0.07608695652173914,0.021739130434782594,0.010869565217391353
18,90,0.05434782608695654,0.021739130434782594,0.021739130434782594,0.010869565217391353
19,95,0.03260869565217395,0.010869565217391353,0.021739130434782594,0.010869565217391353
